CID,SMILES
6368310,C/C(=N/NC(=O)CNC(=O)C1=CC=NC=C1)/C2=CC=CO2
2151930,CC1=CC(=CC=C1)NC(=O)COC2=CC=CC3=C2CCN(C3=O)C
3243410,CC1=CC(=CC=C1)C2=NSC(=N2)SCC(=O)NC3=NC=CS3
4280557,CC(C)CN1C(=C(C(=O)N(C1=O)C)C(=O)COC(=O)CC23CC4CC(C2)CC(C4)C3)N
2756596,CC(C(=O)O)N1C2=CC=CC=C2N=N1
2248970,CN(C)C1=CC=C(C=C1)NC(=O)C(=O)NCCOC2=CC=CC=C2
3183779,C1CCCN(CC1)C(C2=CC3=CC4=C(C=C3NC2=O)OCCO4)C5=NN=NN5CC6=CC=CC=C6
971336,CC1=C(C=CC(=C1)OC)NC(=S)NC2=CC=CC(=C2)C(F)(F)F
5455714,CC\1=C(C(=O)C=C/C1=N\OC(=O)C2=CC(=CC=C2)[N+](=O)[O-])C
5920595,CC1=CC(=CC(=C1)OC2=C(C(=O)N3C=CC=CC3=N2)/C=C(\C#N)/C(=O)OC)C
2947497,C1=CC=C2C(=C1)C(=O)C3=C(O2)C(=O)N(C3C4=CC=C(C=C4)O)C5=NC=CS5
2111418,CC1=C(C=C(C=C1)NC(=O)COC2=CC=CC(=C2)/C=C\3/C(=O)N(C(=S)S3)CCC(=O)O)Cl
736673,C1=CC=C(C=C1)C2=NC(=C(C(=N2)Cl)N)Cl
7217568,CCSC1=NN=C2N1N=C(C=C2)C3=CC=CO3
2842876,CC12CC3CC(C1)CC(C3)(C2)NC(=O)SC
16745538,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C4C(C3=O)O4)C)O)C(=C)C(=O)O2
2879555,CN1C2=CC=CC=C2C(=C(C1=O)[N+](=O)[O-])NCC3CCCO3
9636354,CC1=CC=C(C=C1)C2=C(SC(=N2)N/N=C/C3=CC=CC=C3)NC(=O)C
6885132,COC1=CC=C(C=C1)CN\2C(=O)CS/C2=N/N=C/C3=CC=CS3
703197,CC1=C(C(=NN1)C)SC2=CC=CC=C2N
788171,C1=COC(=C1)/C=C(\C#N)/C(=O)NC2=CC=C(C=C2)S(=O)(=O)N
2549282,C1CC2=NC3=C(C=CC(=C3)C(=O)OCC4=CC(=CC=C4)F)C(=O)N2C1
3112957,CCN(C1=CC=CC=C1)C(=O)C2=C(C=NN2C)N
1899867,C1=CC2=C(C=C1Br)C(=C(N2CCCl)O)N=NC(=S)N
9665561,C1=CC=C(C=C1)/C=N/NC(=O)CSC2C3=CC=CC=C3C4=CC=CC=C24
7161892,CN1C=C(C(=O)N(C1=O)C)S(=O)(=O)N2CCN(CC2)C3=CC=C(C=C3)OC
2805873,C1=CC(=C(C(=C1)C#N)OC2=CC=C(C=C2)N)C#N
2939282,COC1=CC=C(C=C1)CN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O
135433236,CCCCC(=O)N/N=C/C1=C(N(C(=S)NC1=O)CC=C)O
851459,CCCC(=O)NC(=S)NC1=CC=C(C=C1)CN2CCOCC2
863795,COC1=CC=C(C=C1)N2CCN(CC2)CC(=O)NCC3=CC=CC=C3
16187202,C1=CC(=CC(=C1)N2C3=C(C=C(C=C3)[N+](=O)[O-])N=C2SCC(=O)NC(=O)N)C(F)(F)F
2740735,C1CN(CCC1C(=O)C2=CC=CC=C2)C(=O)C3=CC=CS3
650199,CC(C)C(C1=NN=NN1CC2=CC=CO2)N(CC3=CC4=C(C=CC(=C4)OC)NC3=O)C5CCCCC5
2496359,CC1=C(C2=CC=CC=C2N=C1C3=CC(=CC=C3)Cl)C(=O)OCC(=O)NC4=CC5=C(C=C4)OCO5
3119448,CC1=C(C(=C(C=C1)S(=O)(=O)N)C)N2CCCC2=O
1397125,CC1=CC=C(C=C1)C2=NN(C(=O)C3=CC=CC=C32)CC(=O)NCC4=C(C=CC(=C4)C5=NN(C(=O)C6=CC=CC=C65)C)C
2763434,CCOC(=O)C1=C2C=CC=CN2C=C1C3=CC=C(C=C3)OC
